Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area,Estimated Employment Rate (%),Estimated Labor Force,Estimated Unemployed,Estimated Working Population Proxy,Year,Month_Name,Is_Lockdown_Period
Andhra Pradesh,31-05-2019,Monthly,3.65,11999139.0,43.24,Rural,96.35,12453699,454560,28801339,2019,May,0
Andhra Pradesh,31-05-2019,Monthly,6.09,4788661.0,37.45,Urban,93.91,5099202,310541,13616028,2019,May,0
Andhra Pradesh,30-06-2019,Monthly,3.05,11755881.0,42.05,Rural,96.95,12125715,369834,28836422,2019,June,0
Andhra Pradesh,30-06-2019,Monthly,3.8,4824630.0,36.76,Urban,96.2,5015208,190578,13643112,2019,June,0
Andhra Pradesh,31-07-2019,Monthly,3.75,12086707.0,43.5,Rural,96.25,12557618,470911,28868087,2019,July,0
Andhra Pradesh,31-07-2019,Monthly,5.64,4657443.0,36.1,Urban,94.36,4935823,278380,13672641,2019,July,0
Andhra Pradesh,31-08-2019,Monthly,3.32,12285693.0,43.97,Rural,96.68,12707585,421892,28900580,2019,August,0
Andhra Pradesh,31-08-2019,Monthly,4.61,4743179.0,36.29,Urban,95.39,4972407,229228,13701865,2019,August,0
Andhra Pradesh,30-09-2019,Monthly,5.17,12256762.0,44.68,Rural,94.83,12924984,668222,28927895,2019,September,0
Andhra Pradesh,30-09-2019,Monthly,6.01,4733996.0,36.69,Urban,93.99,5036702,302706,13727724,2019,September,0
Andhra Pradesh,31-10-2019,Monthly,3.52,12017412.0,43.01,Rural,96.48,12455858,438446,28960377,2019,October,0
Andhra Pradesh,31-10-2019,Monthly,4.7,4774377.0,36.41,Urban,95.3,5009839,235462,13759515,2019,October,0
Andhra Pradesh,30-11-2019,Monthly,4.12,11397681.0,41.0,Rural,95.88,11887444,489763,28993765,2019,November,0
Andhra Pradesh,30-11-2019,Monthly,7.54,4668772.0,36.62,Urban,92.46,5049505,380733,13788926,2019,November,0
Andhra Pradesh,31-12-2019,Monthly,4.38,12528395.0,45.14,Rural,95.62,13102275,573880,29025863,2019,December,0
Andhra Pradesh,31-12-2019,Monthly,7.88,4913963.0,38.61,Urban,92.12,5334306,420343,13815867,2019,December,0
Andhra Pradesh,31-01-2020,Monthly,4.84,12016676.0,43.46,Rural,95.16,12627865,611189,29056292,2020,January,0
Andhra Pradesh,31-01-2020,Monthly,7.11,4618860.0,35.91,Urban,92.89,4972397,353537,13846832,2020,January,0
Andhra Pradesh,29-02-2020,Monthly,5.91,11723617.0,42.83,Rural,94.09,12460003,736386,29091766,2020,February,0
Andhra Pradesh,29-02-2020,Monthly,5.66,4822035.0,36.84,Urban,94.34,5111337,289302,13874421,2020,February,0
Andhra Pradesh,31-03-2020,Monthly,4.06,11359660.0,40.66,Rural,95.94,11840379,480719,29120461,2020,March,0
Andhra Pradesh,31-03-2020,Monthly,9.88,4521537.0,36.08,Urban,90.12,5017240,495703,13905877,2020,March,0
Andhra Pradesh,30-04-2020,Monthly,16.29,8792827.0,36.03,Rural,83.71000000000001,10503915,1711088,29153246,2020,April,1
Andhra Pradesh,30-04-2020,Monthly,32.3,2544084.0,26.97,Urban,67.7,3757879,1213795,13933552,2020,April,1
Andhra Pradesh,31-05-2020,Monthly,14.46,9526902.0,38.16,Rural,85.53999999999999,11137365,1610463,29185967,2020,May,1
Andhra Pradesh,31-05-2020,Monthly,24.91,3428356.0,32.69,Urban,75.09,4565663,1137307,13966542,2020,May,1
Andhra Pradesh,30-06-2020,Monthly,0.85,15572975.0,53.76,Rural,99.15,15706480,133505,29215923,2020,June,1
Andhra Pradesh,30-06-2020,Monthly,5.86,4954389.0,37.61,Urban,94.14,5262788,308399,13993056,2020,June,1
Assam,31-05-2019,Monthly,4.29,11749334.0,57.39,Rural,95.71,12275973,526639,21390440,2019,May,0
Assam,31-05-2019,Monthly,7.87,1671707.0,44.92,Urban,92.13,1814509,142802,4039423,2019,May,0
Assam,30-06-2019,Monthly,5.08,8923222.0,43.87,Rural,94.92,9400782,477560,21428725,2019,June,0
Assam,30-06-2019,Monthly,9.89,1647342.0,45.17,Urban,90.11,1828146,180804,4047256,2019,June,0
Assam,31-07-2019,Monthly,4.26,9911534.0,48.21,Rural,95.74,10352553,441019,21473870,2019,July,0
Assam,31-07-2019,Monthly,3.21,1739838.0,44.32,Urban,96.79,1797539,57701,4055819,2019,July,0
Assam,31-08-2019,Monthly,5.79,9292039.0,45.83,Rural,94.21,9863113,571074,21521085,2019,August,0
Assam,31-08-2019,Monthly,10.39,1595582.0,43.81,Urban,89.61,1780585,185003,4064334,2019,August,0
Assam,30-09-2019,Monthly,4.46,11468349.0,55.67,Rural,95.54,12003715,535366,21562268,2019,September,0
Assam,30-09-2019,Monthly,9.26,1576480.0,42.66,Urban,90.74,1737359,160879,4072573,2019,September,0
Assam,31-10-2019,Monthly,4.65,8395906.0,40.76,Rural,95.35,8805355,409449,21602932,2019,October,0
Assam,31-10-2019,Monthly,11.17,1595176.0,44.01,Urban,88.83,1795763,200587,4080351,2019,October,0
Assam,30-11-2019,Monthly,4.66,9625362.0,46.64,Rural,95.34,10095828,470466,21646286,2019,November,0
Assam,30-11-2019,Monthly,6.31,1708045.0,44.59,Urban,93.69,1823081,115036,4088543,2019,November,0
Assam,31-12-2019,Monthly,5.02,1722303.0,44.26,Urban,94.98,1813332,91029,4097000,2019,December,0
Assam,31-01-2020,Monthly,4.29,11420996.0,54.9,Rural,95.71,11932918,511922,21735734,2020,January,0
Assam,31-01-2020,Monthly,7.24,1630908.0,42.82,Urban,92.76,1758202,127294,4106029,2020,January,0
Assam,29-02-2020,Monthly,3.26,8462814.0,40.17,Rural,96.74,8747999,285185,21777443,2020,February,0
Assam,29-02-2020,Monthly,9.98,1625454.0,43.9,Urban,90.02,1805659,180205,4113118,2020,February,0
Assam,31-03-2020,Monthly,3.77,9878742.0,47.05,Rural,96.23,10265761,387019,21818834,2020,March,0
Assam,31-03-2020,Monthly,10.34,1664145.0,45.03,Urban,89.66,1856062,191917,4121834,2020,March,0
Assam,30-04-2020,Monthly,8.37,1454956.0,38.45,Urban,91.63,1587860,132904,4129675,2020,April,1
Assam,31-05-2020,Monthly,9.38,9926176.0,50.0,Rural,90.62,10953626,1027450,21907252,2020,May,1
Assam,31-05-2020,Monthly,10.77,1441722.0,39.04,Urban,89.23,1615737,174015,4138670,2020,May,1
Assam,30-06-2020,Monthly,0.0,7544937.0,34.38,Rural,100.0,7544937,0,21945716,2020,June,1
Assam,30-06-2020,Monthly,3.42,1551007.0,38.73,Urban,96.58,1605930,54923,4146475,2020,June,1
Bihar,31-05-2019,Monthly,9.27,24322330.0,39.75,Rural,90.73,26807374,2485044,67439933,2019,May,0
Bihar,31-05-2019,Monthly,19.9,3029344.0,39.8,Urban,80.1,3781953,752609,9502393,2019,May,0
Bihar,30-06-2019,Monthly,10.2,24097712.0,39.71,Rural,89.8,26834869,2737157,67577106,2019,June,0
Bihar,30-06-2019,Monthly,13.29,3248864.0,39.35,Urban,86.71000000000001,3746816,497952,9521768,2019,June,0
Bihar,31-07-2019,Monthly,13.44,23248875.0,39.66,Rural,86.56,26858682,3609807,67722345,2019,July,0
Bihar,31-07-2019,Monthly,16.41,3059744.0,38.36,Urban,83.59,3660419,600675,9542280,2019,July,0
Bihar,31-08-2019,Monthly,11.0,22260203.0,36.85,Rural,89.0,25011464,2751261,67873715,2019,August,0
Bihar,31-08-2019,Monthly,17.66,2994763.0,38.03,Urban,82.34,3637069,642306,9563685,2019,August,0
Bihar,30-09-2019,Monthly,8.87,23905700.0,38.57,Rural,91.13,26232525,2326825,68012769,2019,September,0
Bihar,30-09-2019,Monthly,20.46,2992082.0,39.25,Urban,79.53999999999999,3761732,769650,9584032,2019,September,0
Bihar,31-10-2019,Monthly,12.47,24053140.0,40.31,Rural,87.53,27479881,3426741,68171375,2019,October,0
Bihar,31-10-2019,Monthly,14.06,3173429.0,38.45,Urban,85.94,3692610,519181,9603667,2019,October,0
